id,city,age,protectionorder,why1,killer1,killingway1,statusofkiller,year
1153, Kutahya , Resit ,   Yok ,Bosanma Talebi,Kocasi,Kesici Alet, Tutuklu ,2015
1154, Kutahya , Resit ,   Yok ,Tartisma,Sevgilisi,Bogulma, Tutuklu ,2015
1157, Malatya , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2015
1158, Malatya , Resit ,   Yok ,Husumet,Tanidigi Birisi,Atesli Silah, Tutuklu ,2015
1159, Manisa , Resit ,   Yok ,Aldatilma Suphesi,Sevgilisi,Atesli Silah, Tutuklu ,2015
1161, Manisa , Resit ,   Yok ,Tartisma,Kocasi,Atesli Silah, Intihar ,2015
1163, Manisa , Resit ,   Yok ,Tespit Edilemeyen,Tanidigi Birisi,Tespit Edilemeyen, Tutuklu ,2015
1167, Mersin , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2015
1170, Mersin , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Bogulma, Tespit Edilemeyen,2015
1172, Mersin , Resit ,   Yok ,Kiskanclik,Sevgilisi,Kesici Alet, Tutuklu ,2015
1174, Nevsehir , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2015
1175, Ordu , Resit ,   Yok ,Para,Tanidigi Birisi,Tespit Edilemeyen, Tutuklu ,2015
1178, Osmaniye , Resit ,   Yok ,Tartisma,Kocasi,Kesici Alet, Tutuklu ,2015
1181, Sakarya , Resit ,   Yok ,Tespit Edilemeyen,Kocasi,Atesli Silah, Intihar ,2015
1182, Sakarya , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Tespit Edilemeyen, Tespit Edilemeyen,2015
1184, Sanliurfa , Resit ,   Yok ,Tartisma,Kocasi,Bogulma, Tutuklu ,2015
1189, Sinop , Resit ,   Yok ,Tartisma,Tanidigi Birisi,Kesici Alet, Tutuklu ,2015
1190, Sivas , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Sorusturma Suruyor ,2015
1191, Tekirdag , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Tespit Edilemeyen,2015
1195, Usak , Resit ,   Yok  ,Tespit Edilemeyen,Tanidigi Birisi,Tespit Edilemeyen, Tutuklu ,2015
1201, Zonguldak, Resit Degil ,   Yok ,Husumet,Tanidigi Birisi,Atesli Silah,Sorusturma Suruyor,2015
1202, Zonguldak , Resit Degil ,   Yok ,Tartisma,Babasi,Atesli Silah, Tutuklu ,2015
1206, Zonguldak , Resit ,   Yok ,Tespit Edilemeyen,Tespit Edilemeyen,Atesli Silah, Araniyor ,2015
1208, Zonguldak , Resit ,   Yok ,Tespit Edilmeeyen,Tespit Edilemeyen,Tespit Edilemeyen, Sorusturma Suruyor ,2015
